id,category,question,answer
1,integrations,Is the Workday integration on every plan?,Workday is available on the Growth plan and above. Some advanced field mappings and webhook hooks require Pro.
2,integrations,What syncs between Bellrock CRM and Mailchimp?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with Mailchimp. Conflict resolution defaults to last-write-wins, configurable per object."
3,integrations,What syncs between Bellrock CRM and NetSuite?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with NetSuite. Conflict resolution defaults to last-write-wins, configurable per object."
4,misc,How is uptime measured?,"Uptime is measured against the public API and web app from synthetic probes in five global regions, published on status.bellrock.example."
5,features,Is custom objects available on the free trial?,Custom Objects is available during the 14-day Growth-tier trial. Starter plans do not include it.
6,pricing,Does the Enterprise plan include support?,"Enterprise includes email support with a 24-hour first-response SLA. Pro and Enterprise add chat, phone and a dedicated CSM."
7,integrations,What syncs between Bellrock CRM and Outlook 365?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with Outlook 365. Conflict resolution defaults to last-write-wins, configurable per object."
8,pricing,Is there a setup fee?,"No setup fees on Starter, Growth or Pro. Enterprise contracts include a one-time onboarding fee that varies by scope and migration complexity."
9,onboarding,Where do I set up email sync?,"Settings → Personal → Email → Connect. We support Gmail, Outlook 365 and IMAP/SMTP for legacy mail servers."
10,pricing,How are users counted on the Starter plan?,Any user who logs in during a billing period counts as a paid seat on Starter. Read-only viewers are free up to five times the paid seat count.
11,features,Can pipeline management be disabled per user?,Yes. Admins can disable pipeline management for specific roles or individual users under Settings → Users → Permissions.
12,features,Can I customize custom objects in Bellrock CRM?,"Yes — admins configure custom objects under Settings → Workflow → Custom Objects. Common customizations include thresholds, custom-field mappings and per-team overrides."
13,integrations,What syncs between Bellrock CRM and Zapier?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with Zapier. Conflict resolution defaults to last-write-wins, configurable per object."
14,api,Does /files support pagination?,Yes — pass `?limit=100&cursor=...` for cursor pagination on /files. Responses include `next_cursor` in the envelope when more results are available.
15,features,How accurate is Bellrock CRM's activity timeline?,Internal benchmarks show activity timeline delivers strong precision on production datasets. Customers can tune sensitivity per workspace.
16,features,What data does data import wizard need?,Data Import Wizard relies on the standard Contact and Deal fields plus any custom fields you map. The setup wizard surfaces missing data on first run.
17,features,How accurate is Bellrock CRM's two-way email sync?,Internal benchmarks show two-way email sync delivers strong precision on production datasets. Customers can tune sensitivity per workspace.
18,onboarding,Can I import contacts from a CSV?,"Yes — Settings → Imports → Upload CSV/XLSX. The wizard maps columns, runs deduplication, supports rollback and handles up to 250,000 rows per file."
19,troubleshooting,How do I fix 'missing fields after migration'?,"If you're hitting 'missing fields after migration', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
20,use_cases,Is Bellrock CRM a good fit for media VPs of sales?,"Bellrock CRM is widely used by VPs of sales in media. Common reasons cited are the media field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
21,troubleshooting,I'm seeing 'mobile app crash on launch' — what should I do?,"If you're hitting 'mobile app crash on launch', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
22,security,How long are backups retained?,"Daily backups are retained 30 days, weekly backups 90 days and monthly backups one year on Enterprise."
23,troubleshooting,Why am I getting 'deal stage probability override'?,"If you're hitting 'deal stage probability override', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
24,features,Does meeting scheduler work for international users?,"Yes — meeting scheduler respects user locale, timezone and currency settings. Multi-currency support requires the Pro plan or higher."
25,integrations,How do I connect Drift to Bellrock CRM?,Go to Settings → Integrations → Drift → Connect. Sign in with an admin account on Drift and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
26,use_cases,How do marketing managers in manufacturing use Bellrock CRM?,"Marketing managers at manufacturing companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. manufacturing-specific pipeline templates ship in the marketplace."
27,use_cases,Is Bellrock CRM a good fit for SaaS VPs of sales?,"Bellrock CRM is widely used by VPs of sales in SaaS. Common reasons cited are the SaaS field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
28,api,Are there webhooks for /dashboards events?,"Yes — every create, update and delete on /dashboards can fan out to a webhook endpoint. Configure subscribers under Settings → API → Webhooks."
29,features,Is meeting scheduler included in the API?,Yes — every meeting scheduler action is exposed in the REST and GraphQL API and emits webhooks for downstream automation.
30,features,Can two-way email sync be disabled per user?,Yes. Admins can disable two-way email sync for specific roles or individual users under Settings → Users → Permissions.
31,integrations,Where do I troubleshoot HubSpot sync errors?,Settings → Integrations → HubSpot → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the HubSpot side.
32,features,Is lead routing included in the API?,Yes — every lead routing action is exposed in the REST and GraphQL API and emits webhooks for downstream automation.
33,use_cases,Is Bellrock CRM a good fit for real estate VPs of sales?,"Bellrock CRM is widely used by VPs of sales in real estate. Common reasons cited are the real estate field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
34,integrations,How do I connect Trello to Bellrock CRM?,Go to Settings → Integrations → Trello → Connect. Sign in with an admin account on Trello and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
35,api,What's the rate limit on /orders?,"API endpoints share a per-token rate limit of 100 req/min on Growth, 500 on Pro and 2000 on Enterprise. /orders respects this shared limit."
36,use_cases,Is Bellrock CRM a good fit for fintech founders?,"Bellrock CRM is widely used by founders in fintech. Common reasons cited are the fintech field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
37,use_cases,Can you share a customer story for media sales reps?,"Several media customers run their full revenue cycle on Bellrock CRM. A typical sales reps success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/media."
38,api,What is the /deals endpoint used for?,"Use /deals to manage deals and pipeline stages. It supports GET (list/read), POST (create), PATCH (partial update) and DELETE."
39,misc,How do I delete my workspace?,Owners can request deletion under Settings → Workspace → Delete. All data is purged after 30 days unless legal hold applies.
40,use_cases,Can you share a customer story for real estate VPs of sales?,"Several real estate customers run their full revenue cycle on Bellrock CRM. A typical VPs of sales success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/real estate."
41,use_cases,Can you share a customer story for telecom VPs of sales?,"Several telecom customers run their full revenue cycle on Bellrock CRM. A typical VPs of sales success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/telecom."
42,onboarding,Can I customize the UI?,"Yes — workspace branding, custom layouts per role and field-level customization are available from Pro upward."
43,use_cases,How do sales managers in SaaS use Bellrock CRM?,"Sales managers at SaaS companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. SaaS-specific pipeline templates ship in the marketplace."
44,features,How does Bellrock CRM's call logging work?,Bellrock CRM provides automatic call logging with VoIP integration and transcript capture. The capability is included on the Growth plan and above and configurable per workspace.
45,integrations,Does Bellrock CRM integrate with Greenhouse?,Yes. The Greenhouse integration is native and installed from Settings → Marketplace. It supports two-way sync for the standard objects.
46,integrations,How do I connect Google Meet to Bellrock CRM?,Go to Settings → Integrations → Google Meet → Connect. Sign in with an admin account on Google Meet and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
47,use_cases,Is Bellrock CRM a good fit for manufacturing founders?,"Bellrock CRM is widely used by founders in manufacturing. Common reasons cited are the manufacturing field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
48,use_cases,Can you share a customer story for construction marketing managers?,"Several construction customers run their full revenue cycle on Bellrock CRM. A typical marketing managers success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/construction."
49,use_cases,Is Bellrock CRM a good fit for healthcare VPs of sales?,"Bellrock CRM is widely used by VPs of sales in healthcare. Common reasons cited are the healthcare field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
50,use_cases,Can you share a customer story for energy marketing managers?,"Several energy customers run their full revenue cycle on Bellrock CRM. A typical marketing managers success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/energy."
51,integrations,How do I connect Gmail to Bellrock CRM?,Go to Settings → Integrations → Gmail → Connect. Sign in with an admin account on Gmail and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
52,api,How do I authenticate to /quotes?,Send the `Authorization: Bearer <token>` header with a personal API token from Settings → API or an OAuth2 access token. /quotes accepts both.
53,security,Do you support customer-managed encryption keys?,Yes — bring-your-own-key (BYOK) via AWS KMS is available on Enterprise. Key rotation is on a customer-controlled schedule.
54,use_cases,How do marketing managers in construction use Bellrock CRM?,"Marketing managers at construction companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. construction-specific pipeline templates ship in the marketplace."
55,reporting,How do I create a custom report?,"Reports → New → Custom. Choose a base object, drag fields onto rows and columns, set filters and group-bys, then save and share."
56,api,How do I authenticate to /auth/tokens?,Send the `Authorization: Bearer <token>` header with a personal API token from Settings → API or an OAuth2 access token. /auth/tokens accepts both.
57,api,Are there webhooks for /companies events?,"Yes — every create, update and delete on /companies can fan out to a webhook endpoint. Configure subscribers under Settings → API → Webhooks."
58,use_cases,Is Bellrock CRM a good fit for automotive VPs of sales?,"Bellrock CRM is widely used by VPs of sales in automotive. Common reasons cited are the automotive field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
59,use_cases,Can you share a customer story for retail sales managers?,"Several retail customers run their full revenue cycle on Bellrock CRM. A typical sales managers success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/retail."
